tweet_id,text,label
1298098337946783700,"@USER @USER and like you, they are all squish #gop weasels who will be in tears on election night.",NONE
1296643755022397400,.@USER on covid-19: we'll put the politics aside. we'll take the muzzle off the experts so the the public gets the information they need and deserve. honest unvarnished truth. they can handle it. #demconvention @USER HTTP,FAVOR
1293907151501459500,"@USER google: how to vote early in ""your state"" and get it done as soon as possible. we have a duty to help the u.s. postal service process these ballots and reduce the stress donald trump is intentionally placing on these public servants. 

#voteearly #voteblue #bidenharris2020",FAVOR
1239356229803225e3,am i the only one that pictures biden this way all the time? #demdebate HTTP,NONE
1298801129984266200,"@USER was it the infanticide lie the nun dropped on us that was helpful?
#rnc2020",NONE
1310982880865276e3,@USER i think all the ‘lids’ on the biden campaign days is them trying to find the best drug cocktail to allow biden to look sentient.  trial and error.,AGAINST
1302050245820506e3,"you know how they say anyone can be president? it's not true. trump tried it and he couldn't do it. he is literally unable to do the job. so maybe we should give it to someone else

#trumpisaloser #biden2020",FAVOR
1239344169518116900,"biden is mostly campaigning for the general election, not debating bernie. #democraticdebate",NONE
1295022959787151400,so jazzed to get to meet future u.s.rep @USER &amp; u.s.sen. @USER at 11:30 today at stonebridge park in fayetteville. #2020election,NONE
1311078278728306700,@USER and trump won’t be able to creep around behind biden like he did to hillary. he has to stay in his own lane 👊🏻,FAVOR
1239394168939503600,"listened to both these guys for 2 hours tonight. much of what i heard is more big government that promises free/free/free, open borders, killing the oil industry and more. thanks, but we went through 8 years of that with obama and many of us do not want to go back.... #demdebate",NONE
1301991834110091300,"@USER i'm sure we'll hear the usual blah blah blah hate trump blah blah blah racist trump blah blah russia blah. 
#trumpnowmorethanever 
#kag #maga",AGAINST
1291065309063938e3,"joe #biden kept saying to the 
american people that he is
ready to #debate president #trump 
and accepted 3 #three debates 
does joe #biden contemplate
his intention to #refuse 
and #avoid these debates
on a #strategy using the #coronavirus 
for not wanting to travel 
#prediction",NONE
1293891434546856e3,.@USER created this disastrous catastrophe; we all need to #voteblue to save lives ... u.s. reports highest number of covid-19 deaths in one day since mid-may HTTP,FAVOR
1311123145462489e3,"joe biden is a massive racist . california was once red . think about before . our new generation needs to look back . i have a mind that goes back 100 years because of what my family and our books have taught me . what is a super predator , joe ??? 🤨 #debates",AGAINST
1296228387393077200,"@USER see #2a supporters, the #gop is coming for your guns. ""*400 firearms seized by atf."" rise up! defend #2a!!!!!",NONE
1.3018991595538719e+18,@USER well of course have you see the numbers around the world? is all result of the pandemic ! stop the hate ! #trump2020,AGAINST
1291912140748726300,@USER they pay you? #trump2020 HTTP,AGAINST
1311344224713883600,@USER @USER #fakenews #qanon conspiracy theory,NONE
1217284411642671e3,"i'm not a fan of bernie sander's but every time he says ""uman"", i can't help but smile. #demdebate",NONE
1296246771862118400,"i'm joining the #womenforbiden watch party for the #demconvention with @USER, @USER, and two broads talking politics guests @USER &amp; @USER!  💃🏽",FAVOR
1311102692660514800,@USER i have literally never made a comment on this social media platform in my life and will probably be silenced after this one. biden is not competent even when reading a screen. and you’re bashing trump directly and indirectly with your teams questions. ignoring biden’s fails.,AGAINST
1304448914041471e3,"@USER i fear you’re right. i pray @USER ‘s 2nd term will put more focus prosecuting the swamp. he definitely exposed it. think what we know now versus election day’16...
#maga #trump2020",AGAINST
1296644630453399600,honestly can @USER be president tonight? #bidenharris2020 #demconvention,FAVOR
1298764090949566500,#happyinternationaldogsday #happynationaldogday #happyinternationaldogday #doggyday and #fourmoreyears for #donaldtrump 😎 HTTP,AGAINST
1311050246693302300,"@USER @USER trump can’t say thailand, his policies are not popular",NONE
1290774583218450400,"@USER congratulations.

now tell us again how trump learned his lesson from ukraine so u didn't need to impeach him, or how kavanaugh will protect a woman's right to choose.

#voteblue",FAVOR
1286428518235005e3,@USER saying trump is racist is hilarious considering joe is actually a racist with documented racist comments. #joebiden #potkettleblack #trump2020landslidevictory,AGAINST
