tweet_id,text,label
1232494553715871700,"omg is bernie going to stroke out😳
#demdebate",NONE
1304797667189502e3,@USER a buddy for #donaldtrump,NONE
1286728896306585600,@USER @USER @USER thank you. trump seems to think he's a dictator...we must stop him. #countryoverparty #biden2020,AGAINST
1297529340201238500,"@USER if the states don't save democracy from the radical leftists, no one can - (or will be able to).. 
truth

#trump2020",FAVOR
1.2170690117306081e+18,"i told you i like it rough, no stop being a pussy and throw me off a fucking cliff. 

#astheworldburns #freshマンデー 
#thebachelor #blackwidow #잘생긴_슬기_대회 #ابن_دغيثر_يطالب_بالتحقيق #2020election #australiaburning #climatechange #impeachedforlife #taalerruption2020 #lit",NONE
1239368839017742300,@USER just said it- @USER cant beat @USER. @USER doesnt have the energy or  broad based support among younger voters to beat @USER and win the @USER #demdebate.,NONE
1267949626080059400,behind their fake #democratic agenda. this was the plan all along. it’s real it’s happening and don’t think for a minute that these fifty united states couldn’t get thrust into another civil war. the name of the game is the same! freedom versus tyranny,NONE
1294479198912778200,"@USER @USER living in hi, many depend on #usps as private mail/shipping options cost more. we need to #saveusps, but there’s time to make other plans to make sure everyone votes &amp; that their ballots are counted~just take that fucker out of the voting equation #bidenharris2020 #fucktrump",AGAINST
1311176535471136800,@USER it's plain in simple a no vote or vote for another person other then biden is a vote for trump especially in certain states. i'm pissed just like any other bernie supporter but put emotion aside realize one of those 2 will win and i pray it's not trump again.,AGAINST
1252261725262557200,@USER @USER because they are not disingenuous morons? #gopbetrayedamerica #gophypocrisy #gopcorruptionovercountry #votebluetoendthisnightmare #votebluetosaveamerica,AGAINST
1260973205109555200,"everybody has a place.🇺🇸
#maine #obamagate #covidiots #2020election HTTP",NONE
1298099313445351400,"@USER @USER beautifully done tonight, sir. #rnc2020 #rncconvention2020",NONE
1294388837989462e3,"going up the east river drive, and fast. thank you nypd! on november 3rd we’re bringing you back! #lesm #maga HTTP",FAVOR
131120408042607e4,@USER @USER @USER until every american hears him say it. especially during a national debate in front of millions watching. it takes 3 seconds. votes depend on it for many. how hard is it to say? trump acts like it hurts to say it. something so simple shouldn't be so hard to come out of his mouth.,AGAINST
1288845495272644600,breaking news; herman cain who attended and was seen  without mask tulsa rally has died after being hospitalized with #coronavirus #donaldtrump,NONE
1291224539020644400,"yates throws comey under the bus, beirut bombing, chocolate sauce epstein HTTP
#maga
#kag
@USER",NONE
1293036591292641300,"@USER @USER however, because of #joebiden,s age, his vp will be a key factor of his strugle for presidency. a mistake in choosing a candidate has fatal consequences for his struggle. its will be harder election in the usa history, #realdonaldtrump will go down in history as a true fighter. HTTP",FAVOR
1301874346995130400,mostly full of shit ....#votebluenomatterwho @USER @USER @USER HTTP,AGAINST
1311226985784328200,"@USER @USER biden did it his own way. didn’t get into a shouting match with him. trump was a rude, insubstantial showman just as expected.",AGAINST
1293425401306456e3,@USER haha one summer and she has grown. this could not have been a better pick to solidify a landslide. #trump2020 #maga2020,FAVOR
1287704477227782100,"it’s july 27th! this bullshit has gone long enough! they said flatten the curve! it’s flat! open your businesses, open your churches! stop wearing face coverings !! 
tell the establishment to go to hell! #riseup take your life back! #maga",FAVOR
1293507270526087200,"one of these things is not like the other... #trump2020 #bidenharris2020  @USER 
@USER 
@USER 
@USER HTTP",NONE
1311377904383783e3,@USER imo they should do a sound proof glass box. one comes out answers question then in the box with music until your turn. we would really see how stupid don is #trumpmeltdown #debates2020,AGAINST
1288252601994182700,"obama likes to watch the dark knight &amp; pretend he's the joker. like heath ledger. he od'd on pills. sad. great actor. would of been great to see him make another movie. obama is a son of two immigrants. one kenyan man, one european women. living in hawaii. kalabunga dude. #maga",NONE
1289783615191048200,"message to #bigtech #patreon #google #youtube #twitter 

don't tread on our #1a rights! #maga #trump2020 

sargon and lauren southern join war on patreon, this could wipe out left... HTTP",FAVOR
1230322142148841500,oh shit! warren just through bloomberg through a table! #bernie2020 #demdebates #democraticdebate HTTP,NONE
123249174596898e4,so many toxic pro-sanders trolls. #votebluenomatterwho2020 #demdebate,AGAINST
1298094529044795400,@USER this guy  looks like the joker. no photoshop. #trump2020 HTTP,NONE
1239369824838525e3,"for whatever it’s worth, i would vote for @USER or @USER in a heartbeat in the general against trump. both of these men are good, sincere, and have a demonstrated history of dutiful service to this country. let’s not forget that.
#democraticdebate #voteblue2020",AGAINST
1.2393701412358881e+18,"deadass thought he said ""caskets"" instead of ""test kits"" 💀 #demdebate",NONE
1303018006096814e3,"""what the f--- are we doing that for? guy was a f---ing loser,"" @USER reportedly said after us flags were lowered to half-staff out of respect for mccain. this is what #trumpisatraitor really thinks about our  #vetsagainsttrump #joebiden #joebidenkamalaharris2020",AGAINST
1302116031440117800,"this is how a president is supposed to address the men and women who serve or served in the united states millitary! not calling them losers, suckers, not saying that he likes people who weren’t captured. not firing hero ships captains, nor making a ship hide its name!
#voteblue! HTTP",AGAINST
1297728247564771300,@USER thank you for all your hard work for america! we will miss you. #familyfirst #strongwoman #maga,FAVOR
1300376935944597500,#vote as if you’re not an asshole #voteblue2020 HTTP,AGAINST
1300218366062403600,"@USER president trump is not even a true republican. he is more akin to an authoritarian. he ran under the party affiliation, and has abandoned its values and principles. thank you to the republicans who vote for democracy and principles.

#voteforjoenoonewillknow
#biden2020",AGAINST
1299469998738432e3,@USER @USER the difference is like red and blue! #trump2020,FAVOR
1287903129057591300,"@USER don't forget the thing about deductions for businesses for meals! for all those closed restaurants. and the other ones that force workers back to catch covid and then can't sue for unsafe working conditions. omg, cruelty is the point. @USER @USER #voteblue",AGAINST
1239345346079326200,"#demdebate just popping in to mention how much @USER sucks.
public networks should be the only stations allowed to host debates. especially at this stage.
access to all voters.
#democraticdebate #demdebate2020",NONE
1311239116097454e3,@USER bill barr is simply an extension of donald trump.,NONE
1288542992031051800,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER thank you.
#ifbap
#maga 
#kag",NONE
1299143186611400700,"@USER day 4
#rncconvention #rncconvention2020 

the land of greatness
🇺🇸🇺🇸🇺🇸🇺🇸
#trump2020 #kag#magaa 
HTTP",FAVOR
1311196275560403e3,"@USER last 12 years of obama and trump administrations, america was caught between conservative  evangelical ideals of fear of the unknown (from within). 

liberal ideals based on world order obsession of policing the world.

both seems to have backfired and destroying america.",NONE
